player_id,player_name,ppg,fantasy_stdev,projected_ppg,last_3_avg,boom_weeks,bust_weeks,low_floor_weeks,momentum,availability_score,weekly_consistency_score,efficiency_ratio,pos_QB,pos_RB,pos_TE,pos_WR,cluster,performance_score,adjusted_score,ranked_score,draft_tier
8439,Aaron Rodgers,13.62470588235294,7.537723560239407,14.798823529411765,13.072549019607845,3.0,2.0,1.0,0.8066666666666613,1.0,1.8075358924306597,0.9206614198266954,True,False,False,False,1,5.415333270048723,4.332266616038979,122.0,9
14880,Kirk Cousins,10.371764705882352,9.658592182154525,13.316470588235294,11.571176470588236,2.0,7.0,4.0,-20.389999999999997,1.0,1.0738381443462854,0.7788673911122891,True,False,False,False,0,3.6709735893017252,2.9367788714413803,169.0,12
14881,Russell Wilson,15.3225,6.305765502413531,15.420000000000002,13.764166666666668,1.0,2.0,1.0,12.466666666666663,0.4705882352941176,2.429919094539008,0.9936770428015564,True,False,False,False,1,6.470298473489231,5.176238778791385,97.0,7
15795,DeAndre Hopkins,8.647058823529411,7.44228775705586,9.68470588235294,8.938235294117648,1.0,7.0,4.0,-4.950000000000012,1.0,1.1618818172317156,0.8928571428571429,False,False,False,True,1,4.074275156104065,4.889130187324878,102.0,7
15807,Cordarrelle Patterson,2.05,4.1,2.1275,5.341666666666667,0.0,3.0,2.0,-13.166666666666668,0.2352941176470588,0.5,0.963572267920094,False,True,False,False,0,0.6501242168697409,0.780149060243689,234.0,16
15818,Keenan Allen,10.641176470588237,9.26222562505426,9.565882352941175,9.000980392156864,5.0,9.0,4.0,27.883333333333333,1.0,1.148878995325262,1.1124092977493545,False,False,False,True,1,7.96498967883168,9.557987614598016,13.0,1
15835,Zach Ertz,9.8,7.407792155250079,8.793571428571429,9.604761904761904,0.0,5.0,3.0,2.7333333333333307,0.8235294117647058,1.322931285680647,1.114450491430428,False,False,True,False,7,4.509124546435684,4.509124546435684,114.0,8
15847,Travis Kelce,11.494117647058824,7.750199238425688,12.537058823529412,10.68627450980392,4.0,6.0,2.0,13.733333333333334,1.0,1.4830738273244242,0.9168113358044386,False,False,True,False,1,6.509169883207275,6.509169883207275,59.0,4
15864,Geno Smith,13.885,5.884655701676414,16.554166666666667,14.015555555555556,4.0,1.0,0.0,-1.5666666666666649,0.7058823529411765,2.359526317919408,0.8387616410772716,True,False,False,False,1,5.2433528699245295,4.194682295939624,128.0,9
16460,Adam Thielen,9.292857142857144,9.503235423606188,6.959285714285714,7.654047619047619,1.0,6.0,5.0,22.943333333333342,0.8235294117647058,0.9778624572188896,1.3353176639638715,False,False,False,True,7,6.499042615097952,7.798851138117542,39.0,3
16737,Mike Evans,13.088235294117649,11.729283990984976,11.635882352941175,12.400980392156862,6.0,6.0,4.0,11.68333333333334,1.0,1.1158596981859377,1.1248167433395682,False,False,False,True,1,7.252581073187229,8.703097287824674,25.0,2
16757,Derek Carr,7.880000000000001,5.884703334351982,10.735714285714286,9.664761904761905,1.0,2.0,2.0,-12.493333333333334,0.4117647058823529,1.3390649540479749,0.7339986693280106,True,False,False,False,0,2.650606774613925,2.12048541969114,203.0,14
16800,Davante Adams,12.970588235294118,11.638178804364234,12.436470588235292,12.093529411764706,4.0,5.0,4.0,14.910000000000004,1.0,1.1144860766729447,1.0429476870683947,False,False,False,True,1,7.291472800309062,8.749767360370875,24.0,2
2310331,Tyler Johnson,1.25,2.5,5.8825,8.316666666666666,0.0,3.0,2.0,-28.266666666666666,0.2352941176470588,0.5,0.2124946876328091,False,False,False,True,2,-0.39724647224728465,-0.4766957666967416,242.0,16
2468609,Taysom Hill,6.0200000000000005,10.555010658450326,3.9676470588235295,6.2739215686274505,1.0,12.0,9.0,-4.316666666666674,1.0,0.5703452317388611,1.5172720533728687,False,False,True,False,7,4.326139082213306,4.326139082213306,124.0,9
2576336,Ameer Abdullah,13.733333333333334,7.826280512904368,9.038333333333334,10.161111111111111,0.0,2.0,2.0,21.43333333333333,0.3529411764705882,1.75477141544941,1.519454176654988,False,True,False,False,7,6.3472325811445875,7.616679097373504,42.0,3
2576414,Raheem Mostert,4.890000000000001,5.646326239246188,5.13,5.448333333333333,0.0,6.0,4.0,-5.583333333333333,0.5882352941176471,0.8660498513194022,0.953216374269006,False,True,False,False,0,2.5398934326320224,3.0478721191584266,163.0,11
2577327,Tyler Lockett,7.435714285714285,5.602692641504158,9.362857142857145,8.697619047619048,0.0,7.0,2.0,-17.666666666666668,0.8235294117647058,1.3271679818077644,0.7941714983216355,False,False,False,True,7,2.3070077584474613,2.7684093101369536,177.0,12
