season,week,player_id,player_name,team,position,fantasy_points,projected_points
2022,1,16737,Mike Evans,TB,WR,18.1,14.76
2022,1,3116365,Mark Andrews,BAL,TE,10.2,14.4
2022,1,3045138,Mike Williams,LAC,WR,3.0,13.85
2022,1,4047365,Josh Jacobs,LV,RB,8.3,12.85
2022,1,16460,Adam Thielen,None,WR,6.6,12.88
2022,1,2330,Tom Brady,TB,QB,10.38,19.11
2022,1,15880,Robert Woods,None,WR,2.3,11.47
2022,1,3051738,Marquez Valdes-Scantling,KC,WR,8.1,10.28
2022,1,4240657,Michael Carter,NYJ,RB,17.0,12.83
2022,1,2574808,Robbie Anderson,None,WR,21.2,9.43
2022,1,15072,Marvin Jones Jr.,JAX,WR,7.8,10.08
2022,1,4249417,Jalen Tolbert,DAL,WR,0.0,4.59
2022,1,4373626,Tyler Allgeier,ATL,RB,0.0,0.0
2022,1,3116406,Tyreek Hill,MIA,WR,18.0,15.85
2022,1,15847,Travis Kelce,KC,TE,26.1,14.26
2022,1,4360248,Kyle Pitts,ATL,TE,3.9,11.86
2022,1,4035687,Michael Pittman Jr.,IND,WR,27.1,14.88
2022,1,4040761,Devin Singletary,HOU,RB,8.2,10.75
2022,1,3917315,Kyler Murray,ARI,QB,20.62,20.55
2022,1,3925347,Damien Harris,BUF,RB,7.8,10.97
2022,1,12483,Matthew Stafford,LAR,QB,7.8,16.92
2022,1,4046692,Chase Claypool,CHI,WR,9.4,11.67
2022,1,4379399,James Cook,BUF,RB,-1.8,6.34
2022,1,16790,Jarvis Landry,NO,WR,18.4,8.86
2022,1,4242433,Joshua Palmer,LAC,WR,3.9,9.54
2022,1,3930066,Van Jefferson,LAR,WR,0.0,0.0
2022,1,3115913,Geronimo Allison,None,WR,0.0,0.0
2022,1,4241457,Najee Harris,PIT,RB,10.6,16.44
2022,1,15818,Keenan Allen,LAC,WR,10.6,14.03
2022,1,4427366,Breece Hall,NYJ,RB,10.1,10.26
2022,1,4047650,DK Metcalf,SEA,WR,8.6,13.1
2022,1,2576925,Darren Waller,NYG,TE,11.9,11.93
2022,1,3059915,Kareem Hunt,CLE,RB,23.0,12.0
2022,1,2577417,Dak Prescott,DAL,QB,4.46,18.63
2022,1,4360438,Brandon Aiyuk,SF,WR,6.7,10.72
