season,week,player_id,player_name,team,position,fantasy_points,projected_points,prev_week_points,last_3_avg,season_avg,fantasy_stdev,efficiency_ratio,boom_weeks,bust_weeks,high_ceiling_weeks,low_floor_weeks,fantasy_z_score,momentum,positional_avg_fantasy_points,cumulative_fantasy_points
2024,1,8439,Aaron Rodgers,NYJ,QB,8.58,16.17,0.0,0.0,0.0,0.0,0.5306122448979591,0.0,0.0,0.0,0.0,0.0,0.0,16.13356725146199,8.58
2024,2,8439,Aaron Rodgers,NYJ,QB,15.14,16.65,8.58,8.58,8.58,0.0,0.9093093093093094,0.0,0.0,0.0,0.0,0.0,6.5600000000000005,16.13356725146199,23.72
2024,3,8439,Aaron Rodgers,NYJ,QB,21.04,15.52,15.14,11.86,11.86,4.638620484583753,1.3556701030927836,0.0,0.0,0.0,0.0,1.979036661979422,9.18,16.13356725146199,44.76
2024,4,8439,Aaron Rodgers,NYJ,QB,11.6,15.45,21.04,14.92,14.92,6.232912641775111,0.7508090614886731,1.0,0.0,1.0,0.0,-0.5326562701598327,-3.3200000000000003,16.13356725146199,56.36
2024,5,8439,Aaron Rodgers,NYJ,QB,11.76,14.14,11.6,15.926666666666668,14.09,5.353042748443792,0.8316831683168316,0.0,0.0,0.0,0.0,-0.4352664661004931,-4.166666666666668,16.13356725146199,68.12
2024,6,8439,Aaron Rodgers,NYJ,QB,17.76,14.94,11.76,14.799999999999999,13.624,4.751534488983532,1.1887550200803214,0.0,0.0,0.0,0.0,0.8704556411385306,2.9600000000000026,16.13356725146199,85.88
2024,7,8439,Aaron Rodgers,NYJ,QB,13.04,16.11,17.76,13.706666666666669,14.313333333333333,4.573045666365761,0.8094351334574797,0.0,0.0,1.0,0.0,-0.2784431703139458,-0.6666666666666696,16.13356725146199,98.92
2024,8,8439,Aaron Rodgers,NYJ,QB,17.32,17.22,13.04,14.186666666666667,14.131428571428572,4.202251097413657,1.0058072009291523,0.0,0.0,0.0,0.0,0.7587769875374383,3.133333333333333,16.13356725146199,116.24
2024,9,8439,Aaron Rodgers,NYJ,QB,20.34,13.09,17.32,16.040000000000003,14.53,4.050566098002317,1.5538579067990832,0.0,0.0,1.0,0.0,1.4343674092530947,4.299999999999997,16.13356725146199,136.57999999999998
2024,10,8439,Aaron Rodgers,NYJ,QB,4.04,16.5,20.34,16.900000000000002,15.175555555555555,4.255217712147967,0.24484848484848484,1.0,0.0,1.0,0.0,-2.616917936716921,-12.860000000000003,16.13356725146199,140.62
2024,11,8439,Aaron Rodgers,NYJ,QB,16.06,15.63,4.04,13.9,14.062000000000001,5.338076640722033,1.0275111964171464,0.0,1.0,0.0,0.0,0.3742921157703248,2.1599999999999984,16.13356725146199,156.68
2024,12,8439,Aaron Rodgers,NYJ,QB,0.0,0.0,16.06,13.479999999999999,14.243636363636364,5.099849552148128,0.0,0.0,0.0,0.0,0.0,-2.7929522661382715,-13.479999999999999,16.13356725146199,156.68
2024,13,8439,Aaron Rodgers,NYJ,QB,14.0,15.03,0.0,6.699999999999999,13.056666666666667,6.3679529083076805,0.9314703925482369,0.0,1.0,0.0,1.0,0.1481376113982648,7.300000000000001,16.13356725146199,170.68
2024,14,8439,Aaron Rodgers,NYJ,QB,17.56,13.88,14.0,10.02,13.12923076923077,6.102461882358712,1.265129682997118,0.0,0.0,0.0,0.0,0.7260625819848066,7.539999999999999,16.13356725146199,188.24
2024,15,8439,Aaron Rodgers,NYJ,QB,30.06,16.82,17.56,10.52,13.445714285714287,5.981445302942084,1.7871581450653982,0.0,0.0,1.0,0.0,2.7776373222227195,19.54,16.13356725146199,218.29999999999998
2024,16,8439,Aaron Rodgers,NYJ,QB,12.84,16.9,30.06,20.54,14.553333333333333,7.185014829159234,0.7597633136094675,1.0,0.0,1.0,0.0,-0.238459261960051,-7.699999999999999,16.13356725146199,231.14
2024,17,8439,Aaron Rodgers,NYJ,QB,0.48,17.53,12.84,20.153333333333332,14.44625,6.9545868556898,0.02738163148887621,0.0,0.0,0.0,0.0,-2.0082069991797864,-19.673333333333332,16.13356725146199,231.62
2024,1,14880,Kirk Cousins,ATL,QB,6.2,15.51,0.0,14.459999999999999,13.624705882352941,7.537723560239407,0.39974210186976145,0.0,1.0,0.0,1.0,-0.9850063912554952,-8.259999999999998,16.13356725146199,6.2
